IDCliente,Genero,Jubilado,Casado,Dependientes,Permanencia_Meses,Telefonia,MutlipleLineas,Internet,SeguridadOnline,CopiaSeguridadLinea,SeguroDispositivo,Soporte,StreamingTV,StreamingMovies,TipoContrato,ReciboOnline,MetodoPago,MontoPlan,MontoTotal,Churn
6353-BRMMA,Mujer,No,Si,Si,54,Si,Si,Fibra optica,Si,Si,No,No,Si,Si,Mensual,Si,Transferencia bancaria,104.1,5645.8,No
6680-WKXRZ,Mujer,No,No,No,3,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,No,Transferencia bancaria,74.4,215.8,Si
6231-WFGFH,Hombre,No,Si,Si,4,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Si,Pago efectivo,20.5,77.6,No
9904-EHEVJ,Mujer,Si,Si,Si,32,Si,Si,Fibra optica,No,No,Si,No,Si,No,Mensual,Si,Pago efectivo,91.35,2896.55,No
7028-DVOIQ,Hombre,Si,No,No,35,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Mensual,Si,Cheque,99.05,3395.8,Si
6169-PPETC,Hombre,No,Si,Si,35,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria,20.5,759.35,No
4208-UFFGW,Hombre,Si,No,No,2,Si,No,DSL,No,No,No,No,No,No,Mensual,No,Pago efectivo,44.95,85.15,Si
8584-KMVXD,Mujer,No,No,No,8,Si,No,Fibra optica,No,Si,No,No,No,No,Mensual,No,Cheque,75.6,535.55,No
8467-WYNSR,Hombre,No,No,No,22,Si,No,DSL,Si,No,No,Si,No,No,Mensual,No,Pago efectivo,55.1,1253.15,No
0851-DFJKB,Mujer,No,No,No,15,Si,No,DSL,Si,No,Si,Si,No,No,Mensual,No,Cheque,58.95,955.15,No
5382-SOYZL,Hombre,No,No,No,22,Si,Si,Fibra optica,No,No,No,No,Si,Si,Mensual,Si,Cheque,95.1,2162.6,No
9448-REEVD,Hombre,No,Si,No,1,Si,No,DSL,No,No,No,No,No,No,Mensual,No,Tarjeta de credito,44.7,44.7,Si
3261-CQXOL,Mujer,No,Si,Si,71,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria,25.45,1813.35,No
8388-FYNPZ,Hombre,No,No,No,4,Si,No,DSL,Si,No,Si,No,No,No,Mensual,No,Cheque,56.75,245.15,No
4002-BQWPQ,Hombre,No,No,No,25,Si,Si,DSL,Si,Si,Si,Si,No,Si,Mensual,No,Transferencia bancaria,81.75,2028.8,No
5651-YLPRD,Mujer,No,Si,Si,32,Si,No,Fibra optica,No,Si,No,No,Si,No,Mensual,Si,Cheque,86.1,2723.75,No
2826-DXLQO,Hombre,Si,Si,No,7,No,Sin servicio telefonia,DSL,Si,No,No,No,No,No,Mensual,No,Transferencia bancaria,29.8,220.45,No
4378-BZYFP,Hombre,No,No,No,17,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,Si,Pago efectivo,20.5,365.8,No
9489-UTFKA,Hombre,Si,Si,No,8,Si,No,DSL,Si,No,No,No,Si,No,Mensual,No,Transferencia bancaria,60.9,551.95,No
4849-PYRLQ,Mujer,Si,No,No,56,Si,Si,DSL,Si,No,Si,Si,No,Si,Dos años,No,Transferencia bancaria,73.25,4054.2,No
9117-SHLZX,Hombre,No,No,No,1,Si,No,DSL,No,No,No,No,No,No,Mensual,Si,Pago efectivo,45.7,45.7,Si
9889-TMAHG,Hombre,Si,No,No,8,Si,No,Fibra optica,Si,No,No,Si,Si,Si,Mensual,No,Tarjeta de credito,100.3,832.35,Si
4541-RMRLG,Hombre,No,No,No,7,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque,19.25,112.3,Si
7764-BDPEE,Hombre,No,No,Si,3,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Pago efectivo,20.85,60.65,No
3429-IFLEM,Mujer,No,No,No,71,Si,No,DSL,Si,Si,Si,Si,Si,No,Dos años,No,Tarjeta de credito,77.35,5550.1,No
3158-MOERK,Mujer,No,No,No,2,Si,Si,Fibra optica,No,No,No,No,Si,Si,Mensual,Si,Cheque,96,174.8,Si
7294-TMAOP,Mujer,No,No,No,1,Si,No,Fibra optica,No,No,No,No,Si,Si,Mensual,No,Cheque,90.55,90.55,Si
5002-GCQFH,Hombre,No,Si,No,49,Si,Si,Fibra optica,Si,Si,No,No,Si,No,Mensual,Si,Transferencia bancaria,93.85,4733.1,No
0556-FJEGU,Hombre,No,No,No,58,Si,No,DSL,No,Si,Si,Si,Si,No,Dos años,No,Transferencia bancaria,70.1,4048.95,No
8919-FYFQZ,Hombre,Si,Si,No,44,No,Sin servicio telefonia,DSL,No,Si,No,No,No,No,Mensual,Si,Cheque,30.35,1359.7,Si
0604-THJFP,Mujer,No,Si,Si,59,Si,No,DSL,No,Si,No,Si,Si,Si,Dos años,Si,Tarjeta de credito,75.95,4542.35,No
2834-JRTUA,Hombre,No,No,No,71,Si,Si,Fibra optica,Si,No,Si,Si,Si,Si,Dos años,Si,Cheque,108.05,7532.15,Si
5875-YPQFJ,Hombre,No,No,No,1,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque,69.9,69.9,Si
5879-SESNB,Mujer,No,No,No,11,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,No,Cheque,75.25,888.65,No
6646-QVXLR,Hombre,Si,Si,No,62,Si,Si,Fibra optica,No,Si,Si,No,Si,Si,Un año,Si,Cheque,103.75,6383.35,Si
6461-PPAXN,Mujer,No,Si,Si,35,Si,No,DSL,Si,No,No,Si,No,No,Un año,Si,Transferencia bancaria,54.95,1916,No
3318-ISQFQ,Mujer,No,No,No,20,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Si,Transferencia bancaria,19.5,413,No
1106-HRLKZ,Hombre,No,Si,Si,40,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Pago efectivo,19.6,808.95,No
2483-XSSMZ,Mujer,No,No,No,39,Si,No,DSL,Si,No,No,No,No,No,Un año,Si,Cheque,47.85,1886.4,No
8603-IJWDN,Hombre,No,No,No,1,Si,Si,Fibra optica,No,No,No,No,No,Si,Mensual,Si,Cheque,86.6,86.6,Si
8165-ZJRNM,Mujer,No,Si,Si,72,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria,23.75,1679.25,No
9369-XFEHK,Mujer,Si,Si,No,33,Si,Si,Fibra optica,No,Si,No,No,No,No,Mensual,Si,Transferencia bancaria,80.6,2656.5,Si
2604-XVDAM,Mujer,No,No,No,12,Si,No,DSL,No,No,No,No,No,No,Mensual,No,Transferencia bancaria,43.8,540.95,No
3717-OFRTN,Hombre,No,No,No,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Transferencia bancaria,19.75,19.75,No
9046-JBFWA,Hombre,No,No,Si,27,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Pago efectivo,19.15,537.35,No
3280-NMUVX,Hombre,No,Si,Si,34,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Tarjeta de credito,19.6,678.8,No
1206-EHBDD,Mujer,No,Si,No,56,Si,No,Fibra optica,Si,No,Si,No,No,No,Dos años,No,Transferencia bancaria,80.3,4513.65,No
8361-LBRDI,Mujer,No,No,No,58,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Tarjeta de credito,24.35,1423.85,No
4883-KCPZJ,Mujer,No,Si,Si,22,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Tarjeta de credito,25.25,555.4,No
9108-EQPNQ,Mujer,No,Si,Si,10,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Tarjeta de credito,26.1,225.55,No
7277-KAMWT,Hombre,No,No,No,13,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Tarjeta de credito,20,268.45,No
3842-IYKUE,Mujer,No,No,No,35,Si,Si,Fibra optica,No,Si,No,Si,No,No,Mensual,No,Tarjeta de credito,85.3,2917.5,Si
6641-XRPSU,Mujer,No,No,No,34,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Tarjeta de credito,70,2416.1,Si
1374-DMZUI,Mujer,Si,No,No,4,Si,Si,Fibra optica,No,No,No,No,Si,Si,Mensual,Si,Cheque,94.3,424.45,Si
2545-LXYVJ,Hombre,No,Si,No,72,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria,20.7,1492.1,No
3234-VKACU,Hombre,No,No,No,2,Si,No,DSL,No,No,No,Si,Si,Si,Mensual,No,Cheque,70.3,132.4,No
8357-EQXFO,Mujer,No,No,No,7,Si,No,Fibra optica,No,No,Si,No,Si,Si,Mensual,Si,Cheque,95.35,660.9,Si
1989-PRJHP,Hombre,Si,Si,No,27,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque,75.5,1893.95,Si
8120-JDCAM,Hombre,No,Si,Si,4,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Pago efectivo,69.55,284.9,No
8917-FAEMR,Mujer,No,No,No,37,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Pago efectivo,19.85,784.25,No
7047-YXDMZ,Hombre,No,No,No,21,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Pago efectivo,20,417.7,No
2858-EIMXH,Mujer,Si,Si,No,53,Si,Si,Fibra optica,No,No,No,No,Si,Si,Un año,Si,Tarjeta de credito,95.85,5016.25,No
9524-EGPJC,Mujer,No,No,No,18,Si,Si,Fibra optica,No,No,No,Si,No,Si,Mensual,Si,Cheque,90.1,1612.75,Si
6993-OHLXR,Mujer,No,No,No,2,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,No,Cheque,68.95,119.75,Si
8818-XYFCQ,Hombre,No,Si,Si,32,Si,Si,Fibra optica,Si,No,No,No,Si,Si,Mensual,Si,Tarjeta de credito,99.55,3204.65,Si
6419-ZTTLE,Hombre,Si,Si,No,23,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,Si,Cheque,20.75,485.2,No
0929-HYQEW,Hombre,No,No,No,3,Si,No,DSL,Si,No,No,No,No,No,Mensual,Si,Pago efectivo,50.15,160.85,No
6614-YOLAC,Mujer,No,Si,Si,71,No,Sin servicio telefonia,DSL,Si,Si,No,Si,Si,Si,Dos años,No,Pago efectivo,58.65,4145.25,No
7426-RHZGU,Hombre,No,No,No,9,Si,No,Fibra optica,No,No,No,Si,Si,Si,Mensual,Si,Transferencia bancaria,95.9,827.45,No
4065-JJAVA,Mujer,No,No,No,1,Si,No,DSL,No,Si,No,No,No,No,Mensual,No,Cheque,49.5,49.5,No
4695-VADHF,Hombre,No,Si,Si,18,Si,No,DSL,No,No,Si,No,No,Si,Mensual,No,Cheque,57.45,990.85,Si
3863-IUBJR,Hombre,No,Si,Si,12,Si,No,DSL,No,No,No,No,No,Si,Un año,No,Tarjeta de credito,53.65,696.35,Si
7649-SIJJF,Hombre,No,Si,No,71,Si,Si,DSL,Si,Si,Si,Si,No,Si,Dos años,Si,Pago efectivo,80.1,5585.4,No
9361-YNQWJ,Mujer,No,No,No,64,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,Si,Transferencia bancaria,24.4,1601.2,No
3748-FVMZZ,Hombre,No,No,No,4,No,Sin servicio telefonia,DSL,No,No,No,Si,No,Si,Mensual,Si,Cheque,40.05,162.45,No
9391-TTOYH,Mujer,No,No,No,23,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Si,Pago efectivo,19.5,470.2,No
1452-XRSJV,Mujer,No,Si,Si,39,Si,No,DSL,Si,No,No,No,No,No,Mensual,No,Tarjeta de credito,51.05,2066,No
3422-WJOYD,Hombre,No,Si,No,28,Si,No,DSL,Si,No,No,Si,No,No,Un año,No,Pago efectivo,54.35,1426.45,No
8242-SOQUO,Mujer,Si,No,No,5,Si,No,Fibra optica,No,Si,No,No,Si,No,Mensual,Si,Cheque,84.7,392.5,No
7460-ITWWP,Mujer,Si,Si,No,45,Si,No,Fibra optica,No,No,Si,No,No,Si,Mensual,Si,Cheque,86.1,3861.45,No
7147-AYBAA,Hombre,No,No,No,37,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Pago efectivo,70.35,2552.9,No
7868-TMWMZ,Mujer,Si,Si,No,60,Si,No,Fibra optica,Si,Si,Si,Si,Si,Si,Dos años,Si,Transferencia bancaria,110,6668.35,No
4822-RVYBB,Hombre,Si,No,No,8,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Mensual,Si,Cheque,100.6,819.4,Si
6732-FZUGP,Mujer,No,No,No,47,Si,Si,Fibra optica,Si,No,Si,No,Si,No,Un año,No,Tarjeta de credito,94.9,4615.25,No
8436-BJUMM,Hombre,No,Si,Si,26,Si,Si,Fibra optica,No,No,No,No,Si,No,Mensual,Si,Cheque,83.75,2070.6,Si
4184-TJFAN,Mujer,Si,Si,Si,3,Si,No,Fibra optica,Si,No,No,Si,Si,No,Mensual,Si,Pago efectivo,88.3,273.75,Si
8329-GWVPJ,Mujer,No,Si,Si,50,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Transferencia bancaria,69.75,3557.7,No
1352-VHKAJ,Hombre,No,Si,Si,27,Si,Si,DSL,No,No,No,Si,Si,Si,Mensual,No,Transferencia bancaria,71.6,1957.1,No
4145-UQXUQ,Mujer,Si,No,No,8,Si,No,Fibra optica,No,No,Si,No,Si,Si,Mensual,Si,Cheque,92.1,729.95,Si
2632-TACXW,Mujer,No,Si,No,62,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria,23.65,1416.75,No
8146-QQKZH,Mujer,No,Si,No,71,Si,No,DSL,Si,No,Si,Si,Si,Si,Dos años,No,Transferencia bancaria,81.85,5924.4,No
1767-CJKBA,Hombre,No,No,No,66,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Pago efectivo,25.1,1697.7,No
6445-TNRXS,Hombre,No,Si,Si,68,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Dos años,Si,Transferencia bancaria,114.7,7849.85,No
4581-LNWUM,Mujer,No,No,No,13,No,Sin servicio telefonia,DSL,No,No,Si,No,Si,Si,Mensual,No,Cheque,49.15,649.4,No
4869-EPIUS,Hombre,No,Si,No,56,Si,No,Fibra optica,No,No,No,No,No,Si,Un año,Si,Cheque,80.9,4557.5,No
9948-YPTDG,Hombre,No,Si,No,38,Si,No,Fibra optica,Si,Si,No,No,No,No,Mensual,Si,Cheque,79.45,3013.05,Si
1236-WFCDV,Hombre,Si,No,No,14,Si,No,Fibra optica,No,No,No,No,Si,Si,Mensual,No,Tarjeta de credito,90.45,1266.1,Si
1915-OAKWD,Mujer,No,No,Si,16,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,Si,Transferencia bancaria,19.3,360.35,No
7296-PIXQY,Mujer,No,Si,Si,14,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,No,Cheque,70.2,1046.5,No
4883-QICIH,Hombre,No,Si,Si,32,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Transferencia bancaria,69.75,2347.9,Si
3354-OADJP,Mujer,No,No,No,8,Si,No,DSL,Si,No,No,Si,No,No,Un año,No,Transferencia bancaria,54.25,447.75,No
3524-WQDSG,Mujer,No,Si,Si,43,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Mensual,Si,Transferencia bancaria,99.3,4209.95,No
0810-DHDBD,Mujer,No,No,No,52,Si,Si,DSL,Si,No,Si,Si,Si,No,Un año,No,Tarjeta de credito,74,3877.65,No
4026-SKKHW,Hombre,No,No,No,3,Si,No,DSL,No,No,No,Si,No,No,Mensual,Si,Pago efectivo,50.25,152.3,No
2829-HYVZP,Hombre,No,No,No,29,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,Si,Pago efectivo,19.8,572.2,No
8329-IBCTI,Mujer,No,No,No,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Pago efectivo,19.65,19.65,Si
1271-SJBGZ,Hombre,Si,No,No,12,No,Sin servicio telefonia,DSL,No,No,Si,Si,No,Si,Mensual,Si,Cheque,43.65,526.95,Si
3845-JHAMY,Mujer,No,Si,Si,16,No,Sin servicio telefonia,DSL,No,No,No,No,No,Si,Mensual,Si,Tarjeta de credito,35.5,552.7,No
7013-PSXHK,Mujer,No,No,No,40,Si,Si,DSL,No,No,Si,Si,Si,Si,Un año,Si,Pago efectivo,80.75,3208.65,No
5669-SRAIP,Mujer,No,No,No,5,No,Sin servicio telefonia,DSL,No,No,Si,No,No,Si,Mensual,No,Cheque,39.5,210.75,Si
5981-ITEMU,Hombre,No,Si,No,40,Si,Si,Fibra optica,No,No,No,No,Si,Si,Mensual,Si,Transferencia bancaria,97.1,3706.95,Si
3486-NPGST,Mujer,No,No,No,36,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Pago efectivo,19.55,620.75,No
6941-PMGEP,Mujer,No,No,No,5,Si,No,Fibra optica,No,No,No,No,No,Si,Mensual,Si,Cheque,80,412.5,Si
1624-WOIWJ,Mujer,No,No,No,10,Si,No,Fibra optica,Si,No,No,No,Si,No,Mensual,Si,Pago efectivo,84.7,832.05,Si
2074-GKOWZ,Hombre,No,Si,Si,2,Si,No,Fibra optica,No,No,No,No,Si,Si,Mensual,Si,Transferencia bancaria,89.55,185.55,Si
0376-YMCJC,Hombre,No,No,No,23,Si,Si,Fibra optica,No,No,No,Si,Si,No,Mensual,Si,Cheque,90.6,1943.2,Si
6100-FJZDG,Hombre,No,Si,Si,26,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,Si,Transferencia bancaria,20.05,505.9,No
4829-ZLJTK,Mujer,Si,Si,No,72,Si,Si,Fibra optica,Si,Si,Si,No,Si,Si,Dos años,Si,Cheque,112.4,8046.85,No
1730-VFMWO,Mujer,No,Si,No,34,Si,No,DSL,No,No,No,Si,No,No,Mensual,No,Transferencia bancaria,50.2,1815.3,No
7143-BQIBA,Hombre,No,No,No,10,Si,No,DSL,Si,No,No,Si,Si,No,Mensual,No,Transferencia bancaria,62.25,612.95,No
3800-LYTRK,Mujer,No,No,No,14,Si,No,DSL,Si,No,No,Si,No,No,Un año,No,Pago efectivo,55.7,795.15,No
0634-SZPQA,Mujer,No,No,No,23,Si,Si,Fibra optica,Si,No,No,No,Si,No,Mensual,Si,Transferencia bancaria,90.05,2169.8,Si
9646-NMHXE,Hombre,No,Si,No,47,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Pago efectivo,19.65,973.1,No
7030-NJVDP,Hombre,No,Si,No,24,Si,No,Fibra optica,Si,No,No,Si,No,Si,Mensual,Si,Cheque,89.25,2210.2,No
5536-RTPWK,Hombre,No,Si,No,49,Si,Si,Fibra optica,No,Si,No,No,Si,Si,Mensual,Si,Transferencia bancaria,99.05,4853.75,Si
8883-GRDWQ,Hombre,Si,No,No,20,Si,No,DSL,Si,No,No,Si,No,No,Un año,No,Pago efectivo,54,1055.9,No
6166-ILMNY,Mujer,No,No,No,2,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,No,Transferencia bancaria,69.75,144.55,Si
3097-NNSPB,Mujer,No,No,No,2,Si,No,DSL,No,Si,No,No,No,No,Mensual,Si,Tarjeta de credito,49.05,91.1,Si
7771-ZONAT,Hombre,No,No,No,22,No,Sin servicio telefonia,DSL,No,No,Si,Si,Si,Si,Dos años,No,Transferencia bancaria,56.75,1304.85,No
0655-RBDUG,Hombre,No,No,No,7,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Mensual,Si,Transferencia bancaria,98.05,713,Si
2111-DWYHN,Hombre,No,No,No,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Pago efectivo,21.1,21.1,No
4194-WHFCB,Mujer,No,Si,Si,59,Si,Si,Fibra optica,No,Si,No,Si,No,Si,Mensual,Si,Transferencia bancaria,96.65,5580.8,No
4121-AGSIN,Mujer,No,Si,Si,58,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,Si,Tarjeta de credito,24.5,1497.9,No
4361-BKAXE,Mujer,No,No,No,41,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Mensual,Si,Transferencia bancaria,114.5,4527.45,Si
9845-PEEKO,Mujer,Si,No,No,59,Si,Si,Fibra optica,No,Si,No,No,No,No,Dos años,Si,Tarjeta de credito,79.2,4590.35,No
0455-XFASS,Mujer,No,Si,Si,3,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque,69.55,200.2,No
0301-KOBTQ,Hombre,No,No,No,32,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Si,Transferencia bancaria,20.05,614.45,No
1751-NCDLI,Hombre,Si,Si,No,46,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Mensual,Si,Cheque,98.85,4564.9,No
4367-NUYAO,Hombre,No,Si,Si,0,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Pago efectivo,25.75,null,No
9878-TNQGW,Hombre,No,No,No,2,Si,No,Fibra optica,No,No,No,No,No,Si,Mensual,Si,Cheque,80.95,171.15,Si
9170-ARBTB,Mujer,No,Si,Si,52,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Tarjeta de credito,19.6,1012.4,No
4441-NIHPT,Mujer,Si,No,No,13,Si,No,Fibra optica,No,No,Si,No,No,No,Mensual,Si,Cheque,74.3,940.35,Si
8999-BOHSE,Mujer,Si,No,No,11,Si,No,Fibra optica,No,No,No,No,Si,Si,Mensual,No,Transferencia bancaria,89.7,1047.7,Si
7241-AJHFS,Hombre,No,No,No,32,Si,Si,Fibra optica,Si,No,No,Si,No,No,Mensual,No,Transferencia bancaria,87.65,2766.4,No
7029-RPUAV,Hombre,Si,Si,No,17,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Mensual,Si,Tarjeta de credito,100.45,1622.45,Si
4546-FOKWR,Mujer,No,No,No,16,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Tarjeta de credito,74.75,1129.35,No
9036-CSKBW,Mujer,No,No,No,51,Si,Si,Fibra optica,Si,Si,Si,No,Si,Si,Un año,No,Transferencia bancaria,107.45,5680.9,No
5832-TRLPB,Hombre,No,No,No,29,Si,No,DSL,No,No,Si,Si,Si,Si,Un año,Si,Transferencia bancaria,75.35,2243.9,No
8590-YFFQO,Hombre,No,Si,No,70,Si,No,DSL,Si,Si,Si,Si,No,No,Dos años,No,Tarjeta de credito,64.95,4523.25,No
8659-IOOPU,Mujer,No,Si,Si,71,Si,Si,Fibra optica,Si,No,Si,Si,No,Si,Dos años,No,Cheque,100.45,7159.7,No
1338-CECEE,Hombre,No,Si,Si,41,Si,Si,DSL,No,Si,Si,No,Si,No,Un año,No,Transferencia bancaria,68.5,2839.95,No
7439-DKZTW,Hombre,No,No,No,1,Si,No,Fibra optica,No,No,No,No,Si,No,Mensual,Si,Cheque,80.55,80.55,No
4646-QZXTF,Mujer,No,Si,No,7,Si,No,DSL,Si,No,Si,Si,Si,Si,Mensual,No,Transferencia bancaria,81.25,580.1,No
4607-CHPCA,Hombre,No,Si,Si,25,Si,No,Fibra optica,No,No,No,No,Si,Si,Un año,Si,Cheque,90.4,2178.6,Si
9742-XOKTS,Hombre,No,Si,Si,67,Si,Si,Fibra optica,Si,Si,No,Si,No,No,Un año,No,Cheque,89.55,6038.55,No
6921-OZMFH,Hombre,No,Si,Si,5,Si,Si,DSL,No,No,No,Si,No,No,Mensual,Si,Pago efectivo,55.7,259.4,No
9578-FOMUK,Hombre,No,No,Si,15,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Si,Cheque,24.8,324.15,No
4712-UYOOI,Mujer,No,Si,Si,20,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque,20,417.65,No
8824-RWFXJ,Hombre,No,Si,Si,3,Si,No,DSL,No,Si,Si,No,No,No,Mensual,Si,Pago efectivo,56.15,168.15,Si
7722-CVFXN,Hombre,No,Si,Si,54,Si,Si,Fibra optica,No,Si,No,Si,Si,Si,Un año,Si,Cheque,105.2,5637.85,No
8717-VCTXJ,Hombre,No,No,No,42,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,Si,Pago efectivo,19.55,839.4,No
7363-QTBIW,Mujer,No,Si,No,9,Si,No,Fibra optica,No,No,No,No,No,Si,Mensual,Si,Cheque,79.75,769.1,No
4159-NAAIX,Mujer,No,No,No,63,Si,Si,Fibra optica,No,Si,No,No,Si,Si,Dos años,No,Transferencia bancaria,97.45,6253,No
